ORIGEN,DESTINO,PROVEEDOR,SENCILLO,FULL,TIPO DE SERVICIO ,CONTENEDOR ,VIGENCIA,MAXIMO DE CARGA,SOBRE PESO ,CONSIGNATARIO,CODIGO CW,COMODITY,PESO PERMITIDO ,VOLUMEN PERMITIDO,BURREO / LOCAL,MANIOBRAS CARGA Y DESCARGA,HORAS LIBRES CARGA Y DESCARGA,FLETE EN FALSO,ESTADIAS X CTN,PERNOCTA,LAVADO DE CONTENEDOR ,REFACTURACIÓN,ALMACENAJES X CTN X DIA
MANZANILLO,APODACA,MAMUT," $72,000.00 "," $92,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,CF MOTOS,JCR-001B/L-CFMMEXMTY,REFACCIONES PARA MOTOCICLETA,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,MONTERREY,MAMUT," $60,000.00 "," $83,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,,,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,QUERETARO,MAMUT," $46,000.00 "," $63,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,VOLTAJE LATIN/CONVERGE/SINOMAN,JCR-001C/L-VOLSDENLU/CONTECLAX/SINSOLTAM,MAQUINARIA/ CABLE OPTICO/REFACCIONES,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,SAN MIGUEL DE ALLENDE ,MAMUT," $55,700.00 "," $61,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,3,CARACASAS CELULAR,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,SAN LUIS POTOSI,MAMUT," $45,000.00 "," $65,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,JCR 001A,REFACCIONES AUTOMOTRICES,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,JALISCO IZTLADE LOS MEMBRILLOS,MAMUT," $30,500.00 "," $43,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,YUTO,3,,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,JALISCO OCOTLAN,MAMUT," $33,600.00 "," $44,100.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,,,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,JALISCO TLAJOMULCO,MAMUT," $30,500.00 "," $42,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,,,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,GUADALAJARA,MAMUT," $30,500.00 "," $42,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,,,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,ZAPOPAN ,MAMUT," $30,500.00 "," $42,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,,,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,PUEBLA ,MAMUT," $63,000.00 "," $85,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,FYSAM MEXICO,JCR 001 I/L-FYSAUTZLO,PARABRISAS,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,TORREON,MAMUT," $67,500.00 "," $88,500.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,,,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,SALTILLO,MAMUT," $64,500.00 "," $88,500.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,1,REFACCIONES AUTOMOTRICES,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,LEON/SILAO /IRAPUATO,MAMUT," $43,000.00 "," $65,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,2,REFACCIONES AUTOMOTRICES,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,AGUASCALIENTES,MAMUT," $45,000.00 "," $65,000.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,4,REFACCIONES AUTOMOTRICES,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,TIJUANA,MAMUT," $181,650.00 "," $243,600.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,,,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
MANZANILLO,HERMOSILLO,MAMUT," $118,650.00 "," $158,550.00 ", CHASIS /PLATAFORMA ," 20""/40"" ",30 DIAS ,SENCILLO 23 TON FULL 55 TON , POR CONTENEDOR $4500 MXN ,,,,20 TON FULL 50TON,"20"" 33.11m3 /40"" 76m3",SENCILLO $4800 FULL $7000,"$1,200 POR CONTENEDOR ",12HORAS,SENCILLO $4500  FULL $5000," $4,500.00 "," $5,000.00 "," $1,800.00 ", $450.00 ,Sencillo $660 Full $750 MXN
