code,description
ACC,Alameda Corridor Charge
ACI,Advance Commercial Information
ADD-ON,International Freight
AGS,Aden Gulf Surcharge
AIRTRF,AIRPORT TRANSFER
AMS,AMS Filing
APSF,Airport Service Fee
ATLAS,ATLAS FEE
BAC,BURNASIA FREIGHT
BAF,Bunker Adjustment Factor
BARG,Barge Charge
BC CB TAX,BC carbon tax
BCOFEE,BCO ISA MANAGEMENT FEE
BKF,BANK FEE
BKG,Booking
CAF,Currency Adjustment Factor
CARP,Carp fee
CBO,Continuous Bond
CCFEE,Credit Card Fee
CCINS,Customs Broker Pre-Inspection Fee
CCLR,Import Customs Clearance
CCLR-VAT,Import Customs Clearance (VAT)
CCLR-VAT3,Import Customs Clearance (VAT)
CENG,Censoring Charge
CFC,CONTAINER FACILITY CHARGE
CGS,US and Canada Congestion surcharge
CHSG,Terminal Gate Fee
CLM,Claim
CLS,CHINA LOW SULPHUR
CNCL,Booking Cancellation Fee
COC,Certificate of Origin Fee
COLOADER,COLOADER FEE
COMB,B/L Combination Charge
COV,Change of Vessel
CPIY,Container Pickup In Yangshan
CRF,Container Releasing Fee
CSC/ESS,Origin Container Service Charge / Origin Equipment Service Surcharge
CTN DMG,Container Damage Fee
CVIP,CARRIER VIP REBATE
CWAFEE,CARGOWISE AUTOMATION FEE
D/O FEE,Delivery Order Fee
DADMN,Destination Administration Fee
DAGNT,Destination Agent Fee
DAMED,Destination Amendment Fee
DCART,Delivery Cartage/Drayage
DCART-VAT,Delivery Cartage/Drayage (VAT9%)
DCDEM,Destination Demurrage
DCDET-I,Destination Container Detention-In Gate
DCDET-O,Destination Container Detention-Out Gate
DCFS,Destination Container Freight Station
DCHS,Destination Chassis Rental
DCIS,Destination Container Imbalance Surcharge
DCLN,Destination Container Cleaning
DCLOSS,Destination Commercial Loss
DCNT,Destination Customer Nominated Trucking Fee
DCOD,Change Original Destination at Destination
DCOURIER,Destination Document Courier Services
DCRC,Destination Container Return Charge
DCTF,Destination Clean Truck Fee
DCTRF,Destination Customs Transfer Fee
D-CWAF,DESTINATION CARGOWISE AUTOMATION FEE
DDC,Destination Delivery Charge
DDGF,Destination Dangerous Goods Fee
DDF,Destination Documentation Fee
DDF-VAT,Destination Documentation Fee (VAT)
DDRN,Destination Dry Run
DEHC,Destination Equipment Handover Charge (LoLo)
DEV,Devanning Fee
DEXAM,Destination Customs Exam Charges
DEXDR,Destination Exam Drayage
DEXPRS,Destination Express Fee
DEXPRS-DP,Destination Express Fee-Dispute
DFLIP,Destination Rail Flip
DFRT,Dead Freight
DFSC,Delivery Fuel Surcharge
DFSTN,Destination Fasten Fee
DFUMI,Destination Fumigation
DHDL,Destination Handling fee
DHDL-VAT,Destination Handling Fee (VAT)
DIO,Destination In&out Warehouse Fee
DIO-VAT,Destination In&out Warehouse Fee (VAT)
DIVERSION,FREIGHT REDIRECT
DKALT,DARK ALERT FEE
DLAB,Destination Labour Charges
DLAYO,Destination Layover
DLGF,Destination Late Gate Fee
DLIFT,Destination Container Lifting
DLUL,Destination Loading & unloading
DMD,Destination Magnetic Detection
DMGRP FEE,DAMAGE REPORT FEE
DOFE,DUTY OUTLAY FEE - external
DOFE-NON,DUTY OUTLAY FEE - external
DOFI,DUTY OUTLAY FEE - internal
DOM-CWAF,DOMESTIC CARGOWISE AUTOMATION FEE
DOT,Destination Overtime
DOVWE,Destination Over Weight Charge
DPACK,Destination Repackaging
DPACK-VAT,Destination Repackaging (VAT)
DPCH,Destination Port Charges
DPCS,Destination Port Congestion Surcharge
DPHF,Pre-Inspection Handling Fee
DPIER,Destination Pier Pass
DPKG,Destination Parking
DPLT,Destination Pallet Charges
DPNLT,Destination Customs Penalty
DPOM,Destination POM
DPPK,Destination Pick & Pack
DPRD,Destination Per Diem
DPREP,Destination Prepull
DQUAR,Destination Quarantine Inspection
DRDET,Destination Rail Detention
DRESTIG,Destination Restuffing
DRPOS,Destination Chassis Repositioning
DROP,Destination Container Drop Fee
DRYS,Drayage (Yangshan)
DSB FEE,DISBURSEMENT FEE
DSEC,Destination Security Surcharge
DSECU,Destination Security
DSEG,Destination Segregation / Labeling Fee
DSEG-VAT,Destination Segregation / Labeling Fee (VAT)
DSOC,Destination Stop Off Charge
DSTOR,Destination Rail Storage
DSTOR-VAT,Destination Rail Storage (VAT)
DSTR,Destination Yard Storage Fee
DTALY,Destination Tally
DTCA,Destination OT Carrier
DTHC,Destination Terminal Handling Charges
